(275/2 71 66 1/2 0)
(138 45 51 1 1)
(138 69 65 1/2 0)
(277/2 73 67 1/2 0)
(139 57 58 1 1)
(139 64 62 1 1)
(139 67 64 1 0)
(139 73 67 1/3 0)
(418/3 74 68 1/3 0)
(419/3 73 67 1/3 0)
(140 57 58 1 1)
(140 64 62 1 1)
(140 67 64 1 0)
(140 71 66 1/2 0)
(281/2 69 65 1/2 0)
(141 38 47 1 1)
(141 74 68 15/4 0)
(142 50 54 1 1)
(142 57 58 1 1)
(142 62 61 1 1)
(142 66 63 1 0)
(143 50 54 1 1)
(143 57 58 1 1)
(143 62 61 1 1)
(143 66 63 1 0)
(144 46 52 1 1)
(144 65 63 2 0)
(579/4 74 68 1/4 0)
(145 53 56 1 1)
(145 58 59 1 1)
(145 62 61 1 1)
(145 75 69 1 0)
(146 53 56 1 1)
(146 58 59 1 1)
(146 62 61 1 1)
(146 70 66 1 0)
(146 76 69 1 0)
(147 41 49 1 1)
(147 70 66 1 0)
(147 79 71 3/4 0)
(591/4 77 70 1/4 0)
(148 53 56 1 1)
(148 60 60 1 1)
(148 63 62 1 1)
(148 69 65 1/2 0)
(148 72 67 1 0)
(297/2 67 64 1/2 0)
(149 53 56 1 1)
(149 57 58 1 1)
(149 63 62 1 1)
(149 65 63 2 0)
(149 72 67 1 0)
(150 46 52 1 1)
(150 74 68 3/4 0)
(603/4 74 68 1/4 0)
(151 53 56 1 1)
(151 58 59 1 1)
(151 62 61 1 1)
(151 65 63 1 0)
(151 70 66 1 0)
(151 75 69 1 0)
(152 53 56 1 1)
(152 58 59 1 1)
(152 62 61 1 1)
(152 65 63 2 0)
(152 70 66 1 0)
(152 76 69 1 0)
(153 45 51 1 1)
(153 72 67 1 0)
(153 79 71 3/4 0)
(615/4 77 70 1/4 0)
(154 57 58 3/4 1)
(154 60 60 3/4 1)
(154 65 63 1 0)
(154 72 67 1 0)
(619/4 43 50 1/4 1)
(155 41 49 1 1)
(155 69 65 1 0)
(155 77 70 1 0)
(156 36 46 1 1)
(156 48 53 1 1)
(156 70 66 1/2 0)
(156 76 69 1/2 0)
(156 82 73 1/2 0)
(627/4 70 66 1/4 0)
(627/4 76 69 1/4 0)
(627/4 82 73 1/4 0)
(157 60 60 1 1)
(157 67 64 1 1)
(157 70 66 1 0)
